hole_id,y,x,z,max_depth
WE-1775,9622020,764500,178.47,16.27
WE-1777,9621970,764500,192.41,16.3
WE-1776,9621920,764500,191.29,23.46
WE-1779,9621870,764500,198.3,14.42
WE-1778,9621820,764500,171.29,23.86
WE-1781,9621770,764500,158.24,22.63
WE-1780,9621720,764500,173.3,24.91
WE-1768,9621670,764500,176.49,18.63
WE-1767,9621620,764500,178.07,16.61
WE-1770,9621570,764500,156.62,22.08
WE-1769,9621520,764500,142.1,18.41
WE-1772,9621470,764500,146.69,10.73
WE-1771,9621420,764500,166.22,15.43
WE-1774,9621370,764500,166.94,18.89
WE-1773,9621320,764500,153.46,24.01
WE-1791,9621270,764500,133.0,13.02
WE-1790,9621235,764500,134.17,21.35
WE-1793,9622020,764550,210.3,22.61
WE-1792,9621970,764550,231.87,17.49
WE-1795,9621920,764550,229.97,18.35
WE-1794,9621870,764550,221.16,22.07
WE-1797,9621820,764550,195.44,18.94
WE-1796,9621770,764550,170.33,22.26
WE-1783,9621720,764550,192.03,22.11
WE-1782,9621670,764550,202.79,17.77
WE-1785,9621620,764550,193.59,18.67
WE-1784,9621570,764550,171.96,24.99
WE-1787,9621520,764550,166.58,16.32
WE-1786,9621470,764550,166.32,20.1
WE-1789,9621420,764550,187.91,14.99
WE-1788,9621370,764550,182.74,21.54
WE-1744,9621320,764550,157.61,24.3
WE-1743,9621270,764550,148.82,18.84
WE-1746,9621235,764550,154.3,22.95
WE-1745,9622020,764600,232.74,10.83
WE-1748,9621970,764600,262.77,15.29
WE-1747,9621920,764600,266.5,21.44
WE-1750,9621870,764600,241.26,21.46
WE-1749,9621820,764600,217.74,20.05
WE-1736,9621770,764600,191.9,19.85
WE-1735,9621720,764600,213.85,15.62
WE-1738,9621670,764600,225.44,20.76
WE-1737,9621620,764600,210.71,13.45
WE-1740,9621570,764600,201.41,19.75
WE-1739,9621520,764600,192.69,15.34
WE-1742,9621470,764600,188.97,24.89
WE-1741,9621420,764600,207.79,19.29
WE-1760,9621370,764600,188.37,23.28
WE-1759,9621320,764600,165.33,16.06
WE-1762,9621270,764600,169.23,11.05
WE-1761,9621235,764600,174.83,16.72
WE-1764,9622020,764650,250.8,20.67
WE-1763,9621970,764650,285.04,11.38
WE-1766,9621920,764650,279.53,17.98
WE-1765,9621870,764650,250.2,18.37
WE-1752,9621820,764650,223.73,24.48
WE-1751,9621770,764650,208.68,23.14
WE-1754,9621720,764650,233.25,23.35
WE-1753,9621670,764650,254.27,16.54
WE-1756,9621620,764650,240.29,18.59
WE-1755,9621570,764650,238.9,23.48
WE-1758,9621520,764650,215.73,11.12
WE-1757,9621470,764650,214.05,21.4
WE-1712,9621420,764650,226.42,19.36
WE-1711,9621370,764650,203.48,16.42
WE-1714,9621320,764650,192.05,17.76
WE-1713,9621270,764650,189.62,14.49
WE-1716,9621235,764650,184.29,20.54
WE-1715,9622020,764700,261.04,16.94
WE-1718,9621970,764700,288.77,17.01
WE-1717,9621920,764700,283.37,18.66
WE-1704,9621870,764700,253.99,12.31
WE-1703,9621820,764700,231.57,11.05
WE-1706,9621770,764700,224.66,19.31
WE-1705,9621720,764700,253.53,11.23
WE-1708,9621670,764700,279.94,15.71
WE-1707,9621620,764700,269.64,20.13
WE-1710,9621570,764700,256.74,19.02
