hole_id,depth,dip,azimuth
WE-1775,16.27,-90.0,0.0
WE-1777,16.3,-90.0,0.0
WE-1776,23.46,-90.0,0.0
WE-1779,14.42,-90.0,0.0
WE-1778,23.86,-90.0,0.0
WE-1781,22.63,-90.0,0.0
WE-1780,24.91,-90.0,0.0
WE-1768,18.63,-90.0,0.0
WE-1767,16.61,-90.0,0.0
WE-1770,22.08,-90.0,0.0
WE-1769,18.41,-90.0,0.0
WE-1772,10.73,-90.0,0.0
WE-1771,15.43,-90.0,0.0
WE-1774,18.89,-90.0,0.0
WE-1773,24.01,-90.0,0.0
WE-1791,13.02,-90.0,0.0
WE-1790,21.35,-90.0,0.0
WE-1793,22.61,-90.0,0.0
WE-1792,17.49,-90.0,0.0
WE-1795,18.35,-90.0,0.0
WE-1794,22.07,-90.0,0.0
WE-1797,18.94,-90.0,0.0
WE-1796,22.26,-90.0,0.0
WE-1783,22.11,-90.0,0.0
WE-1782,17.77,-90.0,0.0
WE-1785,18.67,-90.0,0.0
WE-1784,24.99,-90.0,0.0
WE-1787,16.32,-90.0,0.0
WE-1786,20.1,-90.0,0.0
WE-1789,14.99,-90.0,0.0
WE-1788,21.54,-90.0,0.0
WE-1744,24.3,-90.0,0.0
WE-1743,18.84,-90.0,0.0
WE-1746,22.95,-90.0,0.0
WE-1745,10.83,-90.0,0.0
WE-1748,15.29,-90.0,0.0
WE-1747,21.44,-90.0,0.0
WE-1750,21.46,-90.0,0.0
WE-1749,20.05,-90.0,0.0
WE-1736,19.85,-90.0,0.0
WE-1735,15.62,-90.0,0.0
WE-1738,20.76,-90.0,0.0
WE-1737,13.45,-90.0,0.0
WE-1740,19.75,-90.0,0.0
WE-1739,15.34,-90.0,0.0
WE-1742,24.89,-90.0,0.0
WE-1741,19.29,-90.0,0.0
WE-1760,23.28,-90.0,0.0
WE-1759,16.06,-90.0,0.0
WE-1762,11.05,-90.0,0.0
WE-1761,16.72,-90.0,0.0
WE-1764,20.67,-90.0,0.0
WE-1763,11.38,-90.0,0.0
WE-1766,17.98,-90.0,0.0
WE-1765,18.37,-90.0,0.0
WE-1752,24.48,-90.0,0.0
WE-1751,23.14,-90.0,0.0
WE-1754,23.35,-90.0,0.0
WE-1753,16.54,-90.0,0.0
WE-1756,18.59,-90.0,0.0
WE-1755,23.48,-90.0,0.0
WE-1758,11.12,-90.0,0.0
WE-1757,21.4,-90.0,0.0
WE-1712,19.36,-90.0,0.0
WE-1711,16.42,-90.0,0.0
WE-1714,17.76,-90.0,0.0
WE-1713,14.49,-90.0,0.0
WE-1716,20.54,-90.0,0.0
WE-1715,16.94,-90.0,0.0
WE-1718,17.01,-90.0,0.0
WE-1717,18.66,-90.0,0.0
WE-1704,12.31,-90.0,0.0
WE-1703,11.05,-90.0,0.0
WE-1706,19.31,-90.0,0.0
WE-1705,11.23,-90.0,0.0
WE-1708,15.71,-90.0,0.0
WE-1707,20.13,-90.0,0.0
WE-1710,19.02,-90.0,0.0
WE-1709,18.82,-90.0,0.0
WE-1728,24.39,-90.0,0.0
WE-1727,15.16,-90.0,0.0
WE-1730,22.09,-90.0,0.0
WE-1729,20.16,-90.0,0.0
WE-1732,19.39,-90.0,0.0
WE-1731,13.75,-90.0,0.0
WE-1734,21.42,-90.0,0.0
WE-1733,17.12,-90.0,0.0
WE-1720,23.72,-90.0,0.0
WE-1719,14.93,-90.0,0.0
WE-1722,20.43,-90.0,0.0
WE-1721,14.74,-90.0,0.0
WE-1724,18.26,-90.0,0.0
WE-1723,24.51,-90.0,0.0
WE-1726,18.34,-90.0,0.0
WE-1725,22.57,-90.0,0.0
WE-1680,15.61,-90.0,0.0
WE-1679,9.97,-90.0,0.0
WE-1682,18.2,-90.0,0.0
WE-1681,23.01,-90.0,0.0
WE-1684,22.23,-90.0,0.0
WE-1683,17.19,-90.0,0.0
WE-1686,23.95,-90.0,0.0
WE-1685,22.43,-90.0,0.0
WE-1672,24.92,-90.0,0.0
WE-1671,9.18,-90.0,0.0
WE-1674,24.79,-90.0,0.0
WE-1673,23.91,-90.0,0.0
WE-1676,24.56,-90.0,0.0
WE-1675,13.11,-90.0,0.0
WE-1678,14.37,-90.0,0.0
WE-1677,17.86,-90.0,0.0
WE-1696,24.3,-90.0,0.0
WE-1695,15.74,-90.0,0.0
WE-1698,17.85,-90.0,0.0
WE-1697,14.22,-90.0,0.0
WE-1700,17.34,-90.0,0.0
WE-1699,15.77,-90.0,0.0
WE-1702,18.58,-90.0,0.0
WE-1701,19.08,-90.0,0.0
WE-1688,16.85,-90.0,0.0
WE-1687,14.16,-90.0,0.0
WE-1690,20.76,-90.0,0.0
WE-1689,15.35,-90.0,0.0
WE-1692,17.17,-90.0,0.0
WE-1691,14.79,-90.0,0.0
WE-1694,22.16,-90.0,0.0
WE-1693,16.81,-90.0,0.0
WE-1648,20.34,-90.0,0.0
WE-1647,11.56,-90.0,0.0
WE-1650,18.28,-90.0,0.0
WE-1649,12.49,-90.0,0.0
WE-1652,22.19,-90.0,0.0
