Hole_ID,X,Y
WE-1775,764500,9622020
WE-1777,764500,9621970
WE-1776,764500,9621920
WE-1779,764500,9621870
WE-1778,764500,9621820
WE-1781,764500,9621770
WE-1780,764500,9621720
WE-1768,764500,9621670
WE-1767,764500,9621620
WE-1770,764500,9621570
WE-1769,764500,9621520
WE-1772,764500,9621470
WE-1771,764500,9621420
WE-1774,764500,9621370
WE-1773,764500,9621320
WE-1791,764500,9621270
WE-1790,764500,9621235
WE-1793,764550,9622020
WE-1792,764550,9621970
WE-1795,764550,9621920
WE-1794,764550,9621870
WE-1797,764550,9621820
WE-1796,764550,9621770
WE-1783,764550,9621720
WE-1782,764550,9621670
WE-1785,764550,9621620
WE-1784,764550,9621570
WE-1787,764550,9621520
WE-1786,764550,9621470
WE-1789,764550,9621420
WE-1788,764550,9621370
WE-1744,764550,9621320
WE-1743,764550,9621270
WE-1746,764550,9621235
WE-1745,764600,9622020
WE-1748,764600,9621970
WE-1747,764600,9621920
WE-1750,764600,9621870
WE-1749,764600,9621820
WE-1736,764600,9621770
WE-1735,764600,9621720
WE-1738,764600,9621670
WE-1737,764600,9621620
WE-1740,764600,9621570
WE-1739,764600,9621520
WE-1742,764600,9621470
WE-1741,764600,9621420
WE-1760,764600,9621370
WE-1759,764600,9621320
WE-1762,764600,9621270
WE-1761,764600,9621235
WE-1764,764650,9622020
WE-1763,764650,9621970
WE-1766,764650,9621920
WE-1765,764650,9621870
WE-1752,764650,9621820
WE-1751,764650,9621770
WE-1754,764650,9621720
WE-1753,764650,9621670
WE-1756,764650,9621620
WE-1755,764650,9621570
WE-1758,764650,9621520
WE-1757,764650,9621470
WE-1712,764650,9621420
WE-1711,764650,9621370
WE-1714,764650,9621320
WE-1713,764650,9621270
WE-1716,764650,9621235
WE-1715,764700,9622020
WE-1718,764700,9621970
WE-1717,764700,9621920
WE-1704,764700,9621870
WE-1703,764700,9621820
WE-1706,764700,9621770
WE-1705,764700,9621720
WE-1708,764700,9621670
WE-1707,764700,9621620
WE-1710,764700,9621570
WE-1709,764700,9621520
WE-1728,764700,9621470
WE-1727,764700,9621420
WE-1730,764700,9621370
WE-1729,764700,9621320
WE-1732,764700,9621270
WE-1731,764700,9621235
WE-1734,764750,9622020
WE-1733,764750,9621970
WE-1720,764750,9621920
WE-1719,764750,9621870
WE-1722,764750,9621820
WE-1721,764750,9621770
WE-1724,764750,9621720
WE-1723,764750,9621670
WE-1726,764750,9621620
WE-1725,764750,9621570
WE-1680,764750,9621520
WE-1679,764750,9621470
WE-1682,764750,9621420
WE-1681,764750,9621370
WE-1684,764750,9621320
WE-1683,764750,9621270
WE-1686,764750,9621235
WE-1685,764800,9622020
WE-1672,764800,9621970
WE-1671,764800,9621920
WE-1674,764800,9621870
WE-1673,764800,9621820
WE-1676,764800,9621770
WE-1675,764800,9621720
WE-1678,764800,9621670
WE-1677,764800,9621620
WE-1696,764800,9621570
WE-1695,764800,9621520
WE-1698,764800,9621470
WE-1697,764800,9621420
WE-1700,764800,9621370
WE-1699,764800,9621320
WE-1702,764800,9621270
WE-1701,764802,9621220
WE-1688,764803,9621170
WE-1687,764803,9621120
WE-1690,764803,9621070
WE-1689,764803,9621020
WE-1692,764803,9620970
WE-1691,764803,9620920
WE-1694,764803,9620870
WE-1693,764803,9620820
WE-1648,764803,9620770
WE-1647,764803,9620720
WE-1650,764803,9620670
WE-1649,764803,9620620
WE-1652,764803,9620570
WE-1651,764803,9620520
WE-1654,764803,9620470
WE-1653,764803,9620420
WE-1640,764803,9620370
WE-1639,764803,9620320
WE-1642,764803,9620270
WE-1641,764803,9620220
WE-1644,764803,9620170
WE-1643,764803,9620120
WE-1646,764803,9620070
